단지명,매수자,해제사유발생일,해제여부,거래금액,계약일,계약월,계약년도,거래유형,중개사소재지,전용면적,층,지번,ownershipGbn,지역코드,sggNm,매도자,법정동,거래구분,조회년월,계약일자,평형,평수,거래금액_만원,㎡당_만원,평당_만원
래미안퍼스티지,,,,"200,000",10,2,2009,,,222.76,4,18-1,입,11650,서초구,,반포동,분양권,200902,2009-02-10,67,67.4,200000,897.8,2968.0
래미안퍼스티지,,,,"115,000",24,2,2009,,,84.93,8,18-1,입,11650,서초구,,반포동,분양권,200902,2009-02-24,26,25.7,115000,1354.1,4476.2
래미안퍼스티지,,,,"119,000",12,2,2009,,,84.93,29,18-1,입,11650,서초구,,반포동,분양권,200902,2009-02-12,26,25.7,119000,1401.2,4631.9
래미안퍼스티지,,,,"225,000",28,3,2009,,,198.04,14,18-1,입,11650,서초구,,반포동,분양권,200903,2009-03-28,60,59.9,225000,1136.1,3755.8
래미안퍼스티지,,,,"115,000",4,3,2009,,,84.93,24,18-1,입,11650,서초구,,반포동,분양권,200903,2009-03-04,26,25.7,115000,1354.1,4476.2
래미안퍼스티지,,,,"120,000",19,3,2009,,,84.93,16,14-1,입,11650,서초구,,반포동,분양권,200903,2009-03-19,26,25.7,120000,1412.9,4670.9
래미안퍼스티지,,,,"125,000",22,3,2009,,,84.93,27,18-1,입,11650,서초구,,반포동,분양권,200903,2009-03-22,26,25.7,125000,1471.8,4865.5
래미안퍼스티지,,,,"185,000",23,3,2009,,,135.92,5,18-1,입,11650,서초구,,반포동,분양권,200903,2009-03-23,41,41.1,185000,1361.1,4499.5
래미안퍼스티지,,,,"187,000",24,3,2009,,,115.65,2,18-1,입,11650,서초구,,반포동,분양권,200903,2009-03-24,35,35.0,187000,1616.9,5345.3
래미안퍼스티지,,,,"269,000",30,3,2009,,,222.76,25,18-1,입,11650,서초구,,반포동,분양권,200903,2009-03-30,67,67.4,269000,1207.6,3992.0
래미안퍼스티지,,,,"100,000",4,3,2009,,,84.93,18,18-1,입,11650,서초구,,반포동,분양권,200903,2009-03-04,26,25.7,100000,1177.4,3892.4
래미안퍼스티지,,,,"123,500",5,3,2009,,,84.93,25,18-1,입,11650,서초구,,반포동,분양권,200903,2009-03-05,26,25.7,123500,1454.1,4807.1
래미안퍼스티지,,,,"125,000",11,4,2009,,,84.93,24,18-1,입,11650,서초구,,반포동,분양권,200904,2009-04-11,26,25.7,125000,1471.8,4865.5
래미안퍼스티지,,,,"240,000",7,4,2009,,,198.04,22,18-1,입,11650,서초구,,반포동,분양권,200904,2009-04-07,60,59.9,240000,1211.9,4006.2
래미안퍼스티지,,,,"130,000",30,4,2009,,,84.93,26,18-1,입,11650,서초구,,반포동,분양권,200904,2009-04-30,26,25.7,130000,1530.7,5060.1
래미안퍼스티지,,,,"226,000",9,4,2009,,,169.31,9,18-1,입,11650,서초구,,반포동,분양권,200904,2009-04-09,51,51.2,226000,1334.8,4412.7
래미안퍼스티지,,,,"270,000",14,4,2009,,,222.76,12,18-1,입,11650,서초구,,반포동,분양권,200904,2009-04-14,67,67.4,270000,1212.1,4006.9
래미안퍼스티지,,,,"125,500",28,4,2009,,,84.93,24,18-1,입,11650,서초구,,반포동,분양권,200904,2009-04-28,26,25.7,125500,1477.7,4884.9
래미안퍼스티지,,,,"130,000",4,4,2009,,,84.93,30,14-1,입,11650,서초구,,반포동,분양권,200904,2009-04-04,26,25.7,130000,1530.7,5060.1
래미안퍼스티지,,,,"119,000",28,4,2009,,,84.93,26,18-1,입,11650,서초구,,반포동,분양권,200904,2009-04-28,26,25.7,119000,1401.2,4631.9
래미안퍼스티지,,,,"110,000",15,4,2009,,,84.85,15,18-1,입,11650,서초구,,반포동,분양권,200904,2009-04-15,26,25.7,110000,1296.4,4285.7
래미안퍼스티지,,,,"170,000",22,4,2009,,,115.65,18,18-1,입,11650,서초구,,반포동,분양권,200904,2009-04-22,35,35.0,170000,1470.0,4859.4
래미안퍼스티지,,,,"119,700",13,4,2009,,,84.93,28,18-1,입,11650,서초구,,반포동,분양권,200904,2009-04-13,26,25.7,119700,1409.4,4659.2
래미안퍼스티지,,,,"200,000",23,4,2009,,,135.92,26,18-1,입,11650,서초구,,반포동,분양권,200904,2009-04-23,41,41.1,200000,1471.5,4864.3
래미안퍼스티지,,,,"180,000",27,4,2009,,,115.65,20,18-1,입,11650,서초구,,반포동,분양권,200904,2009-04-27,35,35.0,180000,1556.4,5145.2
래미안퍼스티지,,,,"195,000",28,4,2009,,,135.92,29,18-1,입,11650,서초구,,반포동,분양권,200904,2009-04-28,41,41.1,195000,1434.7,4742.7
래미안퍼스티지,,,,"122,000",7,4,2009,,,84.76,15,18-1,입,11650,서초구,,반포동,분양권,200904,2009-04-07,26,25.6,122000,1439.4,4758.2
래미안퍼스티지,,,,"121,500",7,4,2009,,,84.93,23,18-1,입,11650,서초구,,반포동,분양권,200904,2009-04-07,26,25.7,121500,1430.6,4729.2
래미안퍼스티지,,,,"210,000",2,4,2009,,,198.04,6,18-1,입,11650,서초구,,반포동,분양권,200904,2009-04-02,60,59.9,210000,1060.4,3505.4
래미안퍼스티지,,,,"120,000",4,5,2009,,,84.93,12,18-1,입,11650,서초구,,반포동,분양권,200905,2009-05-04,26,25.7,120000,1412.9,4670.9
래미안퍼스티지,,,,"169,000",6,5,2009,,,117.12,15,18-1,입,11650,서초구,,반포동,분양권,200905,2009-05-06,35,35.4,169000,1443.0,4770.2
래미안퍼스티지,,,,"120,330",21,5,2009,,,84.85,22,18-1,입,11650,서초구,,반포동,분양권,200905,2009-05-21,26,25.7,120330,1418.1,4688.1
래미안퍼스티지,,,,"170,000",19,5,2009,,,117.12,11,18-1,입,11650,서초구,,반포동,분양권,200905,2009-05-19,35,35.4,170000,1451.5,4798.4
래미안퍼스티지,,,,"120,000",9,5,2009,,,84.93,15,18-1,입,11650,서초구,,반포동,분양권,200905,2009-05-09,26,25.7,120000,1412.9,4670.9
래미안퍼스티지,,,,"117,000",4,5,2009,,,84.93,6,18-1,입,11650,서초구,,반포동,분양권,200905,2009-05-04,26,25.7,117000,1377.6,4554.1
래미안퍼스티지,,,,"115,200",22,5,2009,,,84.93,5,18-1,입,11650,서초구,,반포동,분양권,200905,2009-05-22,26,25.7,115200,1356.4,4484.0
래미안퍼스티지,,,,"260,000",15,5,2009,,,222.76,15,18-1,입,11650,서초구,,반포동,분양권,200905,2009-05-15,67,67.4,260000,1167.2,3858.4
래미안퍼스티지,,,,"128,000",16,5,2009,,,84.93,11,18-1,입,11650,서초구,,반포동,분양권,200905,2009-05-16,26,25.7,128000,1507.1,4982.2
래미안퍼스티지,,,,"117,000",2,5,2009,,,113.14,6,14-1,입,11650,서초구,,반포동,분양권,200905,2009-05-02,34,34.2,117000,1034.1,3418.6
래미안퍼스티지,,,,"125,000",15,5,2009,,,84.93,20,18-1,입,11650,서초구,,반포동,분양권,200905,2009-05-15,26,25.7,125000,1471.8,4865.5
래미안퍼스티지,,,,"120,000",15,5,2009,,,84.93,6,18-1,입,11650,서초구,,반포동,분양권,200905,2009-05-15,26,25.7,120000,1412.9,4670.9
래미안퍼스티지,,,,"213,000",9,5,2009,,,135.92,26,18-1,입,11650,서초구,,반포동,분양권,200905,2009-05-09,41,41.1,213000,1567.1,5180.5
래미안퍼스티지,,,,"267,000",9,5,2009,,,222.76,25,18-1,입,11650,서초구,,반포동,분양권,200905,2009-05-09,67,67.4,267000,1198.6,3962.3
래미안퍼스티지,,,,"253,000",11,6,2009,,,169.31,20,14-1,입,11650,서초구,,반포동,분양권,200906,2009-06-11,51,51.2,253000,1494.3,4939.9
래미안퍼스티지,,,,"133,000",26,6,2009,,,84.93,17,18-1,입,11650,서초구,,반포동,분양권,200906,2009-06-26,26,25.7,133000,1566.0,5176.9
래미안퍼스티지,,,,"270,000",17,6,2009,,,169.31,25,18-1,입,11650,서초구,,반포동,분양권,200906,2009-06-17,51,51.2,270000,1594.7,5271.8
래미안퍼스티지,,,,"220,000",13,6,2009,,,135.92,12,18-1,입,11650,서초구,,반포동,분양권,200906,2009-06-13,41,41.1,220000,1618.6,5350.8
래미안퍼스티지,,,,"322,000",22,6,2009,,,222.76,25,18-1,입,11650,서초구,,반포동,분양권,200906,2009-06-22,67,67.4,322000,1445.5,4778.5
래미안퍼스티지,,,,"130,000",17,6,2009,,,84.93,27,18-1,입,11650,서초구,,반포동,분양권,200906,2009-06-17,26,25.7,130000,1530.7,5060.1
래미안퍼스티지,,,,"218,000",15,6,2009,,,135.92,8,18-1,입,11650,서초구,,반포동,분양권,200906,2009-06-15,41,41.1,218000,1603.9,5302.1
래미안퍼스티지,,,,"173,500",5,6,2009,,,117.12,20,14-1,입,11650,서초구,,반포동,분양권,200906,2009-06-05,35,35.4,173500,1481.4,4897.2
래미안퍼스티지,,,,"139,300",15,7,2009,,,84.93,11,18-1,입,11650,서초구,,반포동,분양권,200907,2009-07-15,26,25.7,139300,1640.2,5422.1
래미안퍼스티지,,,,"136,700",10,7,2009,,,84.93,26,18-1,입,11650,서초구,,반포동,분양권,200907,2009-07-10,26,25.7,136700,1609.6,5320.9
래미안퍼스티지,,,,"287,000",10,7,2009,,,222.76,13,14-1,입,11650,서초구,,반포동,분양권,200907,2009-07-10,67,67.4,287000,1288.4,4259.1
래미안퍼스티지,,,,"132,500",13,7,2009,,,84.93,7,18-1,입,11650,서초구,,반포동,분양권,200907,2009-07-13,26,25.7,132500,1560.1,5157.4
래미안퍼스티지,,,,"77,000",22,11,2010,,,59.89,14,18-1,,11650,서초구,,반포동,분양권,201011,2010-11-22,18,18.1,77000,1285.7,4250.2
