평형,전용면적,건수,평균_만원,중위_만원,최저_만원,최고_만원,최초계약일,최근계약일,등기일자보유,평균_평당_만원
18,"59.89, 59.96, 59.98",307,164704,118000,77400,445000,2009-12-24,2026-05-06,53,9084
26,"84.76, 84.85, 84.93",639,227982,167000,107000,575000,2009-07-15,2026-06-17,114,8874
35,"115.65, 117.12",83,261298,205000,170000,564000,2009-12-04,2025-02-01,8,7417
41,"135.92, 136.65",149,284499,236000,157000,750000,2009-12-24,2025-09-09,11,6915
51,"168.65, 169.31",165,337954,280000,196000,810000,2009-12-26,2026-05-15,19,6611
60,"198.04, 198.22",185,379089,304000,220000,850000,2009-07-27,2026-05-30,25,6326
67,"222.15, 222.76",146,375770,309500,225000,960000,2009-12-08,2026-06-03,11,5578
