평형,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
18,119,148,150,168,140,140,150,162,143,191,227,217,230,282,235,318
26,221,223,196,251,223,192,206,239,232,238,310,348,318,363,351,415
35,258,339,211,133,400,266,271,383,322,288,242,591,357,574,399,557
41,260,265,245,322,286,282,285,352,293,373,411,457,418,546,392,983
51,288,312,311,424,282,471,301,438,308,533,414,694,461,530,601,758
60,288,380,350,389,295,288,336,434,404,260,503,634,517,527,561,663
67,358,425,334,230,292,470,221,323,310,569,615,958,864,1176,536,1140
