전용면적,평수,평형,세대수
59.89,18.1,18,230
59.96,18.1,18,238
59.98,18.1,18,44
84.76,25.6,26,52
84.85,25.7,26,50
84.93,25.7,26,853
115.65,35.0,35,56
117.12,35.4,35,74
135.92,41.1,41,182
136.65,41.3,41,28
168.65,51.0,51,109
169.31,51.2,51,122
198.04,59.9,60,152
198.22,60.0,60,72
222.15,67.2,67,26
222.76,67.4,67,156
